	smiles
152	COc1ccc2cc3c4cc5OCOc5cc4CC[n+]3cc2c1OC(=O)N6CCC(Cc7ccccc7)CC6
153	CCOC(=O)Nc1cc2NC(C)C(=Nc2c(N)n1)c3cccc(N)c3
154	OC(=O)c1csc(n1)n2nc(c3ccccc3)c4oc5ccccc5c24
155	CCCCCCCCCC[N+]12CC[N+](CCCCC[N+]34CC[N+](CCCCCCCCCC)(CC3)CC4)(CC1)CC2
156	Cc1ccc(cn1)c2cc(F)c(F)cc2c3ccc(cc3)S(=O)(=O)C
157	CCOC(=O)c1c(C)n(C)c(C)c1S(=O)(=O)NCC(=O)N2CCN(CC2)c3cccc(Cl)c3
158	Fc1cccc(c1)S(=O)(=O)N2CCc3cc(ccc23)S(=O)(=O)c4ccc5OCCOc5c4
159	NC1=Nc2c(C(=O)N1)[n+](Cc3cccc(F)c3)cn2[C@@H]4O[C@H](COP(=O)(O)[O-])[C@@H](O)[C@H]4O
160	COC(=O)[C@]12CCC(C)(C)C[C@H]1[C@H]3C(=O)C=C4[C@@]5(C)C=CC(=O)C(C)(C)[C@@H]5CC[C@@]4(C)[C@]3(C)CC2
161	CC(C)CC(=O)N1CCC(CC1)Oc2ccc(cn2)N=C(O)N3Cc4ccccc4C3
162	Cc1cccc(c1)C(=O)Nc2ccc(cc2)C(=O)N\N=C\c3cccnc3
163	CC(=CCC\C(=C\CC\C(=C\CC\C=C\C(=O)O)\C)\C)C
164	OC1CNc2c(C1)ccc3ccccc23
165	COc1ccc(cc1OC)c2csc(NC(=O)C3=COCCO3)n2
166	Cl.C(C1=NCCN1)c2ccc3ccccc3c2
167	O\N=C/1\C(=C/2\C(=O)Nc3c(Br)cccc23)\Nc4ccc(cc14)C(=O)O
168	CC[C@@H]1Cc2ccc(O)cc2C(C)(C)[C@@H]1N
169	Cc1nnc(NCCc2coc(n2)c3ccc(F)cc3)c(C#N)c1C
170	CCC(CC)NC(=O)N[C@H](C(=O)N1CCCC(C1C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC(C)C)C(=O)O)C(=O)N2CCCC2)C(C)(C)C
171	COc1ccc(CNC(=O)c2cc3C(=O)N(Cc4ccc(cc4)C(=O)O)C=Nc3cn2)cc1
172	CN1CC2CC2(C1)c3cccc(O)c3
173	O=C(NN(CCCc1ccccc1)CCCc2ccccc2)c3cc(c4ccccc4n3)C56CC7CC(CC(C7)C5)C6
174	[Na+].[Na+].CCC(C)C(=O)N[C@H](Cc1ccc(OS(=O)(=O)[O-])cc1)C(=O)[O-]
175	COc1ccc(cc1)N(Cc2c[nH]cn2)C(C)C
176	O=C(\C=C\c1occc1)N(c2ccccn2)c3ccccn3
177	O=C(O[C@H]1C[C@H]2COC[C@@H](C1)N2)c3cn(c4ccncc4)c5ccccc35
178	COc1ccc(CSc2nc3ccccc3n2CC(=O)O)cc1
179	CCCCCNc1nc(Nc2ccc(F)cc2)nc(Nc3ccc(F)cc3)n1
180	COc1ccc(C)cc1CN(C)CCCNS(=O)(=O)C
181	CN(CCCCSCC(O)(CC(=O)O)C(=O)O)S(=O)(=O)c1ccc(Cl)cc1Cl
182	Cc1nccn1c2ccc(CNC(=O)c3ccc(O)nc3)cn2
183	CNC1=NC(=O)[C@H](Cc2c[nH]c3ccccc23)O1
184	C[C@@H]1CCCN1CCc2ccc(cc2)c3ccc(cc3)C(C)(C)C(=O)O
185	Cc1cc(C)c(cc1N=C(O)c2cccc(OC(C)(C)C)c2)n3ccn4nc(cc34)c5cccnc5
186	CC1(C)C2(C)CCC1(C/C/2=N\O)C(=O)O
187	CCCNc1nccc(n1)C#Cc2ccc(CC(C)NC(=O)C)cc2
188	CCN(CC)CC.N[C@H](CCC(=O)O)C(=O)N[C@H](Cc1c[nH]c2ccccc12)C(=O)NCCCCCCCCCCCCOP(=O)(O)Oc3ccccc3Cl
189	COc1ccccc1n2c(SCC(=O)Nc3cccc(c3)C(=O)O)nnc2c4ccccc4C
190	CCC(C)[C@H](N)C(=O)OCC1CC(=NO1)c2ccc(O)c(OC)c2
191	NC1=NC(=O)Nc2c1ncn2[C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O
192	CCCC[C@H](NC(=O)c1ccccc1)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCC(=O)N)C(=O)N[C@@H](CCCNC(=N)N)C=O
193	Cn1c(nc2cc(ccc12)C(F)(F)F)c3cc(NC(=O)OCC#C)ccc3Cl
194	CC(C)C[C@H](NC(=O)c1ccc(Oc2ccccc2)cc1)c3oc(C)c(n3)C(=O)N[C@@H](CCCNC(=N)N)C(=O)O
195	Cc1c(Cl)cccc1N2C(=C(C#N)C(C3=C2CCCC3=O)c4cc(CN5CCOCC5)cs4)N
196	Oc1nc(CCC(=O)NNC(=O)COc2cccc(F)c2)nc3ccccc13
197	CCO\N=C\COc1ccc(Oc2ccccc2OC)cc1
198	NC(=N)NCCCC(NS(=O)(=O)c1ccc2ccccc2c1)C(=O)N3CCOCC3
199	CC(Sc1cc(C)c2cc(C)cc(C)c2n1)C#N
200	CCCN1C(=O)N(CCC)c2nc([nH]c2C1=O)c3cc(OCc4nc5cc(Cl)ccc5[nH]4)nn3C
201	Cn1cc(NC(=O)c2cc(NC(=O)c3cc(cn3C)c4ccc(Cl)cc4)cn2C)cc1C(=O)NCCN5CCOCC5
202	COc1cc(\C=N\NC(=O)c2ccc(CSc3nc(C)cc(C)n3)cc2)cc(OC)c1OC
203	CNC(=O)[C@@H]1Cc2ccc(NS(=O)(=O)O)cc2CN1C(=O)CCc3ccccc3
204	Clc1ccc2c(NCCCN3CCN(CCCNS(=O)(=O)c4c(Cl)sc(Cl)c4Br)CC3)ccnc2c1
205	CCCOc1cc(CN2CCCCC2)cc(c1)C(=O)C
206	CN([C@@H]1CCN(C)C1)C(=O)N2CC[C@@H](C2)N(C)C(=O)c3ccc(s3)c4ccc(O)cc4
207	Cc1cccc(OCCN2N=Nc3sc4CCCCc4c3C2=O)c1
208	Cc1nccn1c2ccc(cc2)C3=NNC(=O)CC3
209	CC(C)(C)CN(CCCN1CCN(CCCNc2ccnc3cc(Cl)ccc23)CC1)CC(C)(C)C
210	COc1ccc(cc1)c2nc3cc(OC)ccc3[nH]2
211	O[C@H]1[C@H](O)[C@H](COc2ccccc2)N(Cc3cccc(c3)c4cccs4)S(=O)(=O)N(Cc5ccccc5)[C@H]1COc6ccccc6
212	C[C@H]1C[C@H](C[C@@H](N)[C@@H]1NC(=O)C)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cccc4F
213	COc1c(O)cc(C=O)cc1F
214	CCCOc1ccc(Oc2ccc(cc2)c3ccc(cc3)C(C)NC(=O)C4CC4)cc1
215	CCCC1=CC(=O)c2ccc(OS(=O)(=O)N)cc2O1
216	CN(C)C(CNCc1onc(n1)c2ccsc2)c3cccs3
217	CC(C)N1CCN=C1\N=C(/N)\Nc2ccc(Cl)c(Cl)c2
218	OC(C1=C2C=C[C@@H]3C[C@@]2(OC1=O)[C@H]4CCCCN34)c5cccc(c5)C#N
219	COc1ccc2ccc(cc2c1)S(=O)(=O)N(C)[C@@H]3CCN(Cc4cccc(c4)C(=N)N)C3=O
220	FC(F)(F)c1cc(CN2CCC(CC2)C3(CCC(=O)NC3=O)c4ccccc4)ccc1Cl
221	NS(=O)(=O)c1ccc(cc1)n2nc(cc2c3ccccc3)C(=O)N\N=C\C4=C(Cl)c5ccccc5OC4=O
222	CCCc1nc2cc(\C=C\C(=O)NO)ccn2c1CNC(C)(C)C
223	Nc1nccc2scc(c3ccc4N(CCc4c3)C(=O)Cc5ccccc5)c12
224	COC(=O)c1ccccc1NC(=O)c2cccc(C)c2
225	CC(C(=O)c1ccc(Cl)cc1)[n+]2cccc(C)c2
226	CCOC(=O)Nc1cccc(c1)S(=O)(=O)N2Cc3ccccc3CC2C(=O)NO
227	CN(c1ccc(OC[C@@H](O)CNCCc2ccc(Cl)c(Cl)c2)cc1)S(=O)(=O)C
228	Clc1ccc(nc1)N2CCC(C2)C3CCN(Cc4cccnc4)CC3
229	CN(C)Cc1ccc2CN(CCc2c1)C(=O)c3cc4cc(ncc4n3C)C#C
230	Br.Cc1ccc2[C@H](CN)O[C@@H](Cc2c1O)C3CCCCC3
231	Cn1cncc1[C@](C)(O)C2=Cc3cccnc3[C@@H](N4CCN(CC4)C(=O)OC5(C)CCCCC5)c6ccc(Cl)cc26
232	Fc1ccc(cc1)C(=O)N2CCn3c(C2)nnc3c4ccccn4
233	COC(=O)[C@]12CCCCC=C1N(Cc3cccc4ccccc34)C(=O)[C@H](CC(=O)NCc5cccs5)C2
234	CCCc1c(cccc1c2cccc(Nc3nccc(n3)C(F)(F)F)c2)C(=O)O
235	NC1=N[C@@](C(F)F)([C@H]2C[C@H]2O1)c3cc(NC(=O)C4(CC4)c5ccc(Cl)cc5)ccc3F
236	CCc1c(C)sc2C(N(CCc12)C(=O)Nc3ccc(F)c(Cl)c3)c4ccc(F)cc4
237	NCCCC[C@H](OP(=O)(O)CCCCc1ccccc1)C(=O)N2COC[C@H]2C(=O)O
238	CN=NNc1ccc(cc1)C(=O)C
239	CC(=O)Nc1sc2CNCCCc2c1c3nc4ccccc4s3
240	CCCCCCC(C)NCc1coc(n1)c2ccccc2OCC
241	NS(=O)(=O)c1cccc(NC(=NCc2ccccc2)S)c1
242	OC[C@H]1CCC[C@]12CCC[C@@H]3CCCC(=O)N23
243	Fc1ccc(cc1)C(N2CCC3(CC2)CCN(C3)C(=O)c4ccc(Cl)cc4)c5ccc(F)cc5
244	FC(F)(F)COc1cccc(Cl)c1C#N
245	Cn1cc(cn1)N2CC3(CCN(Cc4cccnc4)CC3)OCC2=O
246	CCN(CC)C(=O)Cn1cc(SCC(=O)Nc2ccc(C)cc2)c3ccccc13
247	CN(C)c1cccc2c1nc(c3c(F)cccc3F)n2Cc4c(F)cccc4F
248	Cc1oc(CN2CCN(CC2)c3cccc4[nH]c(nc34)c5ccc(cc5)C(C)(C)C)c(C)n1
249	Fc1ccc(CN2CCN(CC2)C(=O)CCC(=O)Nc3nnc(s3)C4CCCCC4)cc1
250	C[C@@H]1C[C@H]2C[C@@H](O)CC[C@]2(C)[C@H]3CC[C@@]4(C)[C@@H](CC[C@@H]4C(=O)C)[C@H]13
251	Cc1ccccc1OCC(=O)N\N=C\c2cc3ccccc3nc2Cl
252	Fc1cccc(CSC2=CC(=O)c3ccccc3N2CC(=O)N(CCc4c[nH]cn4)Cc5ccc(cc5)c6ccc(cc6)C(F)(F)F)c1F
253	O=C1[C@H](CCN1Cc2cc3c[nH]ccc3n2)NS(=O)(=O)c4cc5cccnc5s4
254	COCCO[C@H]1COCCN(C1)C2CCN(C)CC2
255	COC(=O)NC(c1occc1)[C@@]2(CCCC2=O)C(=O)C
256	CC1CCN(Cc2c(nnn2c3nonc3N)C(=O)N\N=C(/C)\c4ccc(Br)cc4)CC1
257	Cc1cc(C)c(c(C)c1)S(=O)(=O)N2N=Cc3sc(Br)cc3B2O
258	Cc1ccc(cc1)S(=O)(=O)CCC(=O)Nc2cccc(C)c2
259	CC(O)CNc1nc2ccccc2n1CC(=O)NC34CC5CC(CC(C5)C3)C4
260	COc1ccc(OC)c(NC(=O)CSc2oc(CNC(=O)COc3ccc(Cl)cc3)nn2)c1
261	Nc1cnc(cn1)c2ccc(cc2F)c3ccc(cc3C#N)C(F)(F)F
262	NS(=O)(=O)c1nnc(NC(=O)c2ccc(cc2)N3C4=C(C(C5=C3CCCC5=O)c6ccc(Cl)cc6)C(=O)CCC4)s1
263	C\C(=N/NC(=O)C(=O)N1CCCC1)\CC(=O)Nc2cccc(Cl)c2Cl
264	COC[C@H]1CCCN1C(=O)c2cc(C)cc(c2)C(=O)N[C@@H](Cc3cc(F)cc(F)c3)[C@H](O)[C@H]4CN(CCN4)S(=O)(=O)c5ccc(Cl)s5
265	COc1ccc(cc1[N+](=O)[O-])[C@@H]2Nc3ccc(cc3[C@@H]4C=CC[C@H]24)C(=O)C
